Company Name,Nick Name,Contact Name,Street Address Line 1,Street Address Line 2,Street Address Line 3,City,St/Prov,Postal Cd,Country,,,,Contact Fax,Res Ind,Loc ID,Cons Ind,Account Number,Acc Postal Cd,USPSPO Box IND
A.A. Jansson,A A Jansson,,2070 Airport Road,,,WATERFORD,MI,483271204,US,,,,,0,,0,,,0
AA Tech,AA Tech,,124 Columbia St,,,CLYDE,NY,144331049,US,,,,,0,,0,,,0
Aerojet Propulsion,Aerojet Propulsion,,Hwy 50 and Hazel Ave Bldg,Bldg 20022 Door 16E,,Rancho Cordova,CA,95670,US,,,,,0,,0,,,0
Aerojet Rocketdyne,Aerojet Rocketdyne,,9001 Lurline Ave,,,CHATSWORTH,CA,913116122,US,,,,,0,,0,,,0
AGCO,AGCO,,202 Industrial Park,,,JACKSON,MN,561439448,US,,,,,0,,0,,,0
AJR Industries,AJR,,117 Gordon Street,,,ELK GROVE VILLAGE,IL,600071118,US,,,,,0,,0,,,0
Alpha Gage,Alpha Gage,,5245 27th Ave,,,ROCKFORD,IL,611091714,US,,,,,0,,0,,,0
AME Inc.,Denny Leonard,,5770 Clarkson St.,Unit C,,DENVER,CO,802161348,US,,,,,0,,0,,,0
AMG Huntington Beach LLC,AMG aka Notthoff,,5416 Argosy Avenue,,,HUNTINGTON BEACH,CA,92649,US,,,,,0,,0,,,0
AMT,AMT,,20100 71st Ave N.E.,,,ARLINGTON,WA,982237447,US,,,,,0,,0,,,0
Application Specialties,Application Specialties,,3941 B Street NW,,,AUBURN,WA,980012420,US,,,,,0,,0,,,0
Applied Machine Solutions,Applied Machine Solutions,,2200 Airport Industrial Dr.,#300,,BALL GROUND,GA,301074692,US,,,,,0,,0,,,0
ATA - Arnold's AFB,ATA - Arnold's AFB,,1476 N. Hap Arnold Drive,,,ARNOLD A F B,TN,37389,US,,,,,0,,0,,,0
ATC,ATC,,3050 Westinghouse Road,,,RURAL HALL,NC,27045,US,,,,,0,,0,,,0
B&W Y 12,B&W Y12,,115 Union Valley Road,,,OAK RIDGE,TN,378308045,US,,,,,0,,0,,,0
BAE Systems,BAE Systems,,15 Windham Blvd,,,AIKEN,SC,298059320,US,,,,,0,,0,,,0
Baker Hughes,Baker Hughes - Woodlands,,9110 Grogans Mills Rd.,,,THE WOODLANDS,TX,773803615,US,,,,,0,,0,,,0
Baldor Electric,Baldor Electric Co.,,5024 Pelham Road,,,GREENVILLE,SC,296155717,US,,,,,0,,0,,,0
Ball Aerospace,Ball Aerospace,,1600 Commerce St.,,,BOULDER,CO,803012734,US,,,,,0,,0,,,0
"Basham, Ringe y Correa, S.C.",Basham,,Batallon de San Patricio 109,Piso 16,Col. Valle Oriente,SAN PEDRO GARZA GARCIA,NL,66269,MX,,,,,0,,0,,,0
Bell Helicopter - Grand Prairie,Bell Helicopter,,Plant 5 Bldg 3,1700 North Hwy 360,,GRAND PRAIRIE,TX,750501926,US,,,,,0,,0,,,0
Bell Helicopter - Hurst,Bell Hurst,,600 E Hurst Blvd,Bldg 1 Basement DP 01,"Hurst, TX 76053",HURST,TX,760538030,US,,,,,0,,0,,,0
Bischoff Enterprises,Bischoff Enterprises,,5732 St. Anthony Rd,,,Ottawa Lake,MI,49267,US,,,,,0,,0,,,0
"Bob, Inc.","Bob, Inc.",,8740 49th Avenue North,,,MINNEAPOLIS,MN,554284002,US,,,,,0,,0,,,0
Boeing - Auburn,Boeing Auburn,,WA 17-04.1 MX,700 15th St. SW DR W - 45,,AUBURN,WA,98002,US,,,,,0,,0,,,0
Boeing - Everett,Boeing,,Everett 40-11 Stores,3003 West Casino Road Door W-7,,Everett,WA,98203,US,,,,,0,,0,,,0
